"id","prolificId","createdAt","consented","comprehensionAttempts","instructionsCompleted","taskCompleted"
"cgj5d1u6h43ey50s3dsf2a1pl","97bcb5c0ef94a4794de6a42a","2026-07-06 17:04:32.242418","t",2,"t","t"
"cyvzoitno5lomu7h0xpmb4n6o","feb0e4a9bf8d3c0e15506d66","2026-07-06 17:06:26.744148","t",1,"t","f"
"cc1obop6imcxxu4bm36hplrli","69e2d7a4b5deef740cf0653d","2026-07-06 17:08:09.365306","t",5,"t","t"
"cw969m0rqik4a8n386uznecwa","802dc719a8d2ffd0fbeca59b","2026-07-06 17:09:09.758213","t",1,"t","t"
"craw9px6ze8vlrbwc7gir1ho2","8cf040af882ca2ebaf198c92","2026-07-06 17:10:58.743349","t",1,"t","t"
"cynt62pz9p7y1fpr5h7op6yrv","c857166f0e984afe63ce1272","2026-07-06 17:11:54.354291","t",2,"t","t"
"cduxvd18c9nrsbzzkex2p4hpf","32376d01212ed3bb3d60fc51","2026-07-06 17:16:35.362465","t",2,"t","t"
"cqix5gzjtbgho5h974uzn07pr","28c0d09dc280d9a92e16a5ab","2026-07-06 17:19:03","t",1,"t","t"
"cyvqlcz1rm2cjratd22nm5ion","b335379db963083b19cd8fee","2026-07-06 17:20:55.243780","t",1,"t","t"
"ccgriffbm12d8vcg71w9ilczb","f06020a1d40977acb968a0d1","2026-07-06 17:22:45.233558","t",1,"t","f"
"ct45pmzp9mt3y1obwjumek1tr","5bead1cc658fccb1c5c456f5","2026-07-06 17:24:12.960914","t",1,"t","t"
"cfl7j2xh64beqqbgajp3voot5","5ebfdcc0c9ab2711d0db6b08","2026-07-06 17:28:08.277565","t",2,"t","f"
"cjd0162dekvgx2txvbgmdrjcj","16115cb1c9a8973620094bb7","2026-07-06 17:32:26.405645","t",1,"t","t"
"ccrxvtr45d20hac4h14jvip8s","2c693bbbf68f19072ffdeca7","2026-07-06 17:33:25.113325","t",1,"t","t"
"ch9eydbp6ipmb8roab1jz4nr4","d71f467024123d3cc1d5ebad","2026-07-06 17:35:20.356327","t",1,"t","t"
"ccup4n7atvz1q0kr5ctwwxpoa","bb90d096022da6ae8bb6bca4","2026-07-06 17:36:21","t",2,"t","t"
"ces6ms7wo602vy6a7x2z5wuxk","7b1ed228e95eeef3231c922b","2026-07-06 17:39:41","t",1,"t","t"
"c9kmgj2tv66aiv0xb0htjf62k","129e78950b9969847ff5ea40","2026-07-06 17:42:19.274746","t",1,"t","t"
"cuar5ppedj1jcshairamyu1ac","77f4194aee91c871e662f095","2026-07-06 17:45:24.266572","t",2,"t","t"
"chnalh6wiw0fr4f1j3mgyyxpw","67b5c9caf3034ca5bf1209bc","2026-07-06 17:49:57.839863","t",1,"t","t"
"c1wkdb8i1pgn3vw5hxv34g7tp","a91c6e06fb3ca9872d30ba65","2026-07-06 17:53:36.299516","t",1,"t","t"
"cp6y8w5sd3i9l76fv3lc90rmz","922cd69c7a7836370807ab9f","2026-07-06 17:55:44.714790","t",2,"t","f"
"cjnx616agwkkmvyo9y40pk0s2","38f3283aa87b4ca5ab840695","2026-07-06 17:58:18","t",1,"t","t"
"cj2yluhgmamnc5biqecdzj608","844bae9ffa22bf0ff95ef188","2026-07-06 18:01:49.306007","t",2,"t","t"
"cqf1xxias8uba0058qib5806b","6a02f7c94ef5486c6d089ef8","2026-07-06 18:06:25","t",1,"t","t"
"c4rnprurki47bi99dhsrg1y28","40ade440bbc9b0e94cd284b9","2026-07-06 18:09:17.570306","t",1,"t","t"
"chu8ssilhmnaw60h2rfh5oeqb","1dbce3275dbb561e0fcdd644","2026-07-06 18:10:17","f",1,"t","t"
"c8b0uyghj1j3havawfx4g6vm8","4ecc57cf0cccc854a92a8165","2026-07-06 18:14:21.179757","t",2,"t","t"
"c86lnm24q8fx15w9hshuw1azz","f0a9fab388bacbf48a7f3a40","2026-07-06 18:18:26.279411","t",1,"t","t"
"ca28whr4lb5elyewbik99m742","75edb3f4e26132ded1cbcf6f","2026-07-06 18:19:17.482486","t",1,"t","t"
"c5h40okg4bdg8k9ti665ri07r","bf6ef123adc4fee126ef11f1","2026-07-06 18:23:31.818111","t",1,"t","t"
"cxh6y4ros10qttwt6m8ue98j9","568059426dcbdfdbb4d3e7ff","2026-07-06 18:26:33.424452","t",1,"t","t"
"ckjtumznd0k2f3vz6mdm6p90c","e3bc06bad4f848155d7ea567","2026-07-06 18:29:02.072528","t",1,"t","t"
"cnqpd18iedm6noeczklj1kd6j","bdf1fc7d4fe7e265cfee778f","2026-07-06 18:31:06.846873","t",1,"t","t"
"c96ha4buzib85aeju1ldfibo9","47322c4d4d89c2ac400e3c63","2026-07-06 18:33:04","t",1,"t","t"
"c0xiwarmi7qjwuveecylr609n","730d4bcba7d1fe1aaa9cd050","2026-07-06 18:36:54.752980","t",1,"t","t"
"c2qiyrbhcugkb41egz69ms01v","69cb64c427c9dfa36e93a090","2026-07-06 18:40:52.831023","t",2,"t","t"
"cp24iclxvnz66nwl0wfi8elqp","9827b0411102360221680d79","2026-07-06 18:42:17.788456","t",1,"t","t"
"cryak3qnvdc8s04bl2if7m2py","1e2e283795a97a62e9674e93","2026-07-06 18:46:07.818861","t",1,"t","t"
"cg86sevrz95xi1znm4fp1c5qg","665c281dcb18bee7b038aadb","2026-07-06 18:49:40","t",1,"t","t"
