"id","participantId","phase","button","reinforced","respondedAt"
"cmr9mhyc7000204jpfb9zkomg","cmr9mh0th000104kzui9le7ue",1,"R2","f","2026-07-06 19:38:37.975"
"cmr9mhz3c000304jpkw5n41o1","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:38.952"
"cmr9mhzwx000404jpd66tbul7","cmr9mh0th000104kzui9le7ue",1,"R2","f","2026-07-06 19:38:40.017"
"cmr9mi0ik000504jprsfpg9uq","cmr9mh0th000104kzui9le7ue",1,"distractor","f","2026-07-06 19:38:40.796"
"cmr9mi1gt000604jp4ajpnti8","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:42.029"
"cmr9mi2nl000704jpshwzk97c","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:43.569"
"cmr9mi3yg000804jp6qqzrgn3","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:45.256"
"cmr9mi4rm000904jptwqqfblv","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:46.306"
"cmr9mi5oj000a04jpn633eyv7","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:47.491"
"cmr9mi7bg000c04jprscba0au","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:49.612"
"cmr9mi892000d04jpicq4eej1","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:50.822"
"cmr9mi930000e04jp7cnoeuo0","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:51.9"
"cmr9mia87000f04jpqscc3lx3","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:53.383"
"cmr9mibf9000g04jpsnytvv0u","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:54.933"
"cmr9micfv000h04jpzmgrcr81","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:56.251"
"cmr9midkh000i04jpsaxj0kco","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:57.713"
"cmr9mieha000j04jpkdfda95s","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:38:58.894"
"cmr9mif8n000k04jpoqz29sau","cmr9mh0th000104kzui9le7ue",1,"R2","f","2026-07-06 19:38:59.879"
"cmr9mighc000l04jp77rzrpy8","cmr9mh0th000104kzui9le7ue",1,"distractor","f","2026-07-06 19:39:01.488"
"cmr9mihim000m04jp2v6y0s58","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:02.83"
"cmr9miidw000n04jpyn3kiygk","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:03.956"
"cmr9mijdk000o04jpq8s8q5rr","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:05.24"
"cmr9mik4n000p04jpbd4eew2o","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:06.215"
"cmr9mikuh000q04jpwo1zaipg","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:07.145"
"cmr9milnf000r04jpzhpuwh7o","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:08.187"
"cmr9mimvu000s04jpos8fdtho","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:09.786"
"cmr9mio3m000t04jpipcov65m","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:11.362"
"cmr9mipl9000u04jplvlm2me2","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:13.293"
"cmr9miqvh000v04jpsk37zsu4","cmr9mh0th000104kzui9le7ue",1,"R2","f","2026-07-06 19:39:14.957"
"cmr9miskx000w04jp3hm9aqej","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:17.169"
"cmr9mitxs000x04jp0u3ooteq","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:18.928"
"cmr9miufv000y04jpxyr7icag","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:19.579"
"cmr9miuxk000z04jp6e6unm55","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:20.216"
"cmr9mivgt001004jpfucwqlsm","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:20.909"
"cmr9miw4p001104jpr7arqorf","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:21.769"
"cmr9miwpr001204jp6cqzqdze","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:22.527"
"cmr9mixh4001304jpb2tbccs2","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:23.512"
"cmr9miy94001404jpw71njdn3","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:24.52"
"cmr9mizki001504jpnwbpdhbm","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:26.226"
"cmr9mj0c3001604jpwhxhbjmc","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:27.219"
"cmr9mj3f5001704jp64jy6qps","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:31.217"
"cmr9mj578001804jphzep22g1","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:33.524"
"cmr9mj66g001904jp7o4rpf5g","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:34.792"
"cmr9mj6vh001a04jpo7qhicgg","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:35.693"
"cmr9mj7iv001b04jpu63xb3pd","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:36.535"
"cmr9mj9ov001c04jpcplfv779","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:39.343"
"cmr9mjal5001d04jpoxlbuyoz","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:40.505"
"cmr9mjbm3001e04jpyk7d5v4h","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:41.835"
"cmr9mjcoy001f04jp34b5jdf2","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:43.234"
"cmr9mjdg0001g04jpe18iljf7","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:44.208"
"cmr9mje7g001h04jplmupp74c","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:45.196"
"cmr9mjf0r001i04jp2elu564v","cmr9mh0th000104kzui9le7ue",1,"R1","t","2026-07-06 19:39:46.251"
