"id","participantId","phase","button","reinforced","respondedAt"
"czrugg0em0jan2yrpuzdotluu","cgj5d1u6h43ey50s3dsf2a1pl",1,"distractor","f","2026-07-06 17:05:12.577151"
"c1bjvpp6nw1nrzg56nyzwh31q","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:13.073060"
"ch07mxtv99383qrg06zfsq354","cgj5d1u6h43ey50s3dsf2a1pl",1,"distractor","f","2026-07-06 17:05:14"
"cpkzcjdhtuzmbqqetgts13ebv","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:14.957363"
"c5mohtxk26mlt9bj1m25a5s49","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:15"
"c0kikbc5mpw0zdcdlrvhnzxb0","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:16.072808"
"cuf2p9xqfe6y68042ookhkvh5","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:17.067913"
"c508wa74skmu84dry4gyjnd26","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:20.919951"
"cyqq32i2g6j46sikxf7bfu3vy","cgj5d1u6h43ey50s3dsf2a1pl",1,"R2","f","2026-07-06 17:05:21.949661"
"c185zs0oz62ozs5a5lh9li0oz","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:22.705434"
"cnt1vy0d0xuf810tl9nhwzwux","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:22.921411"
"cxaareha3jluko3lvbxb7oaa6","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:23.542679"
"cmdvoe1y3s4m1qq81780lf683","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:25.211189"
"cksbrhos1btntb8kkc02eswhi","cgj5d1u6h43ey50s3dsf2a1pl",1,"R2","f","2026-07-06 17:05:27.403100"
"cpbe082hqwi9xh86zaf2zw9w0","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:27.613992"
"cgjm9z4h1fjatwo1a8gicrumi","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:27.800487"
"c6m4defn5lyyx0cp3eqeqbspw","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:27.950487"
"cwr44n2qiitt4qjsabiu0r3sk","cgj5d1u6h43ey50s3dsf2a1pl",1,"distractor","f","2026-07-06 17:05:29.107853"
"cx4n1yggn2hul23zogxq6j71c","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:29.490163"
"c2j6od0pai4f1m38ofwp9w0ff","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:30.041273"
"cdal7jdzkn8pgyi66lj9bzdde","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:33.501799"
"cina3bpwoo4dtq7wj4nqcgnpw","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:34.189309"
"cggu3iuf7evh835c9z9njxitw","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:35.014772"
"c443hivk4j2bmj95qxf2ssbvo","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:35.164772"
"c702439fthkzpox5j3cud6i83","cgj5d1u6h43ey50s3dsf2a1pl",1,"R1","t","2026-07-06 17:05:36.994900"
"cmssgyr0lw64f2qrmaoxa0wyr","cgj5d1u6h43ey50s3dsf2a1pl",1,"R2","f","2026-07-06 17:05:38.141947"
